Id;QNumber;Question;Answer;Reference;Grade1;Grade2
0;1;what is a software requirement;future functionality of the system that is necessary or required;a software requirement is a detailed description of a systems desired functionality behavior or performance defining what the software must do to meet user needs and achieve business goals;D;D
1;1;what is a software requirement;a requirement is a formalized description of how we envision what the given systemsoftware should do we must define requirements for the software so we know what to createprogram in the requirements we find the desired properties and functions that the systemsoftware should perform;a software requirement is a detailed description of a systems desired functionality behavior or performance defining what the software must do to meet user needs and achieve business goals;A;B
2;1;what is a software requirement;requirements are certain conditions that need to be met the customerclient can present requirements and they can also be presented for the program;a software requirement is a detailed description of a systems desired functionality behavior or performance defining what the software must do to meet user needs and achieve business goals;B;C
3;1;what is a software requirement;a set of points and specifications that describe what the systemsoftware should satisfy how it should work its demands for security performance etc;a software requirement is a detailed description of a systems desired functionality behavior or performance defining what the software must do to meet user needs and achieve business goals;C;B
4;1;what is a software requirement;one of the things that need to be done in software can be determined by the customer owner or the team based on how the product will be used;a software requirement is a detailed description of a systems desired functionality behavior or performance defining what the software must do to meet user needs and achieve business goals;E;D
5;1;what is a software requirement;future functionality of the system that is requested or necessary for the proper operation of the applicationproject;a software requirement is a detailed description of a systems desired functionality behavior or performance defining what the software must do to meet user needs and achieve business goals;C;C
6;1;what is a software requirement;a requirement is essentially a description of what the system or program must do or what functions it must have;a software requirement is a detailed description of a systems desired functionality behavior or performance defining what the software must do to meet user needs and achieve business goals;C;B
7;1;what is a software requirement;a requirement is a functional and nonfunctional representation of a software systems properties functional requirements describe what the system must do and nonfunctional requirements describe the qualitative or performance criteria the system must meet;a software requirement is a detailed description of a systems desired functionality behavior or performance defining what the software must do to meet user needs and achieve business goals;B;B
8;1;what is a software requirement;requirements also include future possibilities of the system which means the system must be designed to be flexible and capable of adapting to potential future needs and expansions;a software requirement is a detailed description of a systems desired functionality behavior or performance defining what the software must do to meet user needs and achieve business goals;B;C
9;1;what is a software requirement;under the term requirement we understand the future functionality of the system that is necessary or required;a software requirement is a detailed description of a systems desired functionality behavior or performance defining what the software must do to meet user needs and achieve business goals;C;C
10;1;what is a software requirement;necessary system functionality is divided into two categories functional and nonfunctional;a software requirement is a detailed description of a systems desired functionality behavior or performance defining what the software must do to meet user needs and achieve business goals;Fx;Fx
11;1;what is a software requirement;these are the expectations needs that the software system must fulfill;a software requirement is a detailed description of a systems desired functionality behavior or performance defining what the software must do to meet user needs and achieve business goals;C;C
12;1;what is a software requirement;a requirement is the future functionality or property of the software system that is necessary or demanded it is a description of what the system should be able to do;a software requirement is a detailed description of a systems desired functionality behavior or performance defining what the software must do to meet user needs and achieve business goals;B;A
13;1;what is a software requirement;a requirement is actually the functionality that we would likeneed in the software system engaging in their collection is necessary because we need to know exactly what the software product should do to be able to create it properly;a software requirement is a detailed description of a systems desired functionality behavior or performance defining what the software must do to meet user needs and achieve business goals;A;A
14;1;what is a software requirement;a requirement is a claim for something to happen;a software requirement is a detailed description of a systems desired functionality behavior or performance defining what the software must do to meet user needs and achieve business goals;Fx;Fx
